dataset_size,word_size,cpu_time,memory,n_candidates
200000,11,18018.4,20376704,49257417
200000,7,56769.9,10431112,95369046
100000,10,5750.7,3984800,14901402
100000,8,9707.6,3292808,20868885
200000,4,1414248.2,8655164,105970469
50000,9,2774.8,3218376,6587458
50000,11,1615.3,4868460,4187758
100000,11,4588.7,4793812,12327430
50000,6,12091.9,2982808,10745994
150000,5,205688.0,3865956,59346841
50000,5,27060.1,2985212,11239316
150000,4,773304.5,3659064,59515436
200000,8,41405.2,12839424,83492621
50000,4,108669.8,2911400,11303328
100000,4,386472.8,3128572,26467915
200000,9,30847.0,15911760,71332247
100000,5,94200.0,3143476,26393388
150000,8,22815.5,4301600,46859697
200000,6,121613.2,9491652,102831324
200000,10,23231.2,17034504,59582475
150000,7,34337.0,3984640,53531249
50000,8,3898.0,3012524,8085623
100000,9,7891.2,3551576,17833243
50000,10,2223.8,3849300,5265356
100000,6,31755.9,3182528,25686983
150000,11,10476.4,7844760,27614015
150000,9,15933.8,4909280,40020745
100000,7,15072.1,3184432,23825283
50000,7,5436.9,2993352,9617576
150000,10,12885.7,5673772,33429722
150000,6,71874.3,3909252,57742909
200000,5,343920.8,8539548,105673199
